press_id,cycle_index,activation_no,i_inrush_peak_a,t_inrush_ms,i2t_activation_a2s,t_hf_min,i_anode_a,u_anode_v,damage_true,fuse_blown,split
P01,1,1,784.7,19.28,3958.2,5.68,6.967,7038.1,0.01083,0,test
P01,1,2,753.3,15.85,2997.6,6.7,6.982,7034.4,0.01884,0,test
P01,1,3,710.2,18.51,3111.0,5.5,6.983,7036.3,0.02603,0,test
P01,2,1,826.3,16.86,3836.5,4.87,6.87,7029.1,0.03443,0,test
P01,2,2,832.1,18.73,4322.7,5.03,6.865,7034.3,0.04547,0,test
P01,2,3,672.1,19.75,2973.3,2.5,6.868,7038.5,0.05264,0,test
P01,3,1,776.9,22.34,4494.6,4.54,6.793,7030.2,0.06332,0,test
P01,3,2,787.4,18.19,3759.7,4.5,6.761,7031.1,0.07194,0,test
P01,4,1,907.3,19.57,5368.9,7.89,6.839,7056.1,0.08829,0,test
P01,4,2,865.3,23.63,5898.4,7.83,6.856,7031.7,0.10487,0,test
P01,5,1,815.4,18.93,4195.7,4.32,6.866,7043.4,0.11701,0,test
P01,5,2,755.6,23.23,4419.5,4.48,6.881,7043.7,0.12904,0,test
P01,5,3,756.5,18.0,3434.2,3.74,6.906,7046.3,0.1363,0,test
P01,6,1,815.7,12.1,2684.3,3.7,6.731,7046.6,0.1421,0,test
P01,6,2,774.7,16.68,3336.4,3.38,6.768,7052.2,0.14892,0,test
P01,6,3,758.9,14.99,2877.5,3.39,6.73,7042.4,0.15539,0,test
P01,7,1,786.9,17.06,3521.7,5.76,6.828,7028.9,0.16352,0,test
P01,7,2,787.8,22.24,4600.4,5.39,6.835,7025.9,0.17625,0,test
P01,8,1,855.3,17.26,4210.3,8.2,6.895,6989.2,0.18734,0,test
P01,8,2,826.8,15.76,3591.2,8.84,6.904,7009.5,0.19602,0,test
P01,9,1,854.4,20.22,4919.2,6.44,6.921,7078.6,0.20881,0,test
P01,9,2,720.9,21.23,3678.1,5.38,6.914,7053.5,0.21868,0,test
P01,10,1,791.3,16.61,3467.7,5.21,6.723,7038.2,0.22748,0,test
P01,10,2,731.8,26.01,4641.8,5.83,6.741,7021.5,0.24244,0,test
P01,10,3,712.1,17.78,3004.9,5.04,6.763,7028.8,0.25091,0,test
P01,11,1,825.8,16.94,3851.1,6.33,6.834,7031.1,0.2607,0,test
P01,11,2,794.3,19.21,4040.3,6.09,6.841,7016.0,0.27218,0,test
P01,12,1,779.6,14.64,2966.1,6.89,6.778,7040.6,0.27881,0,test
P01,12,2,782.2,22.96,4682.7,7.2,6.788,7047.5,0.29331,0,test
P01,13,1,910.3,20.25,5593.5,4.32,6.835,6989.0,0.31143,0,test
P01,13,2,732.7,20.21,3617.1,4.2,6.809,7005.9,0.321,0,test
P01,13,3,829.0,21.26,4868.9,4.56,6.828,7016.0,0.33404,0,test
P01,14,1,929.2,12.23,3518.3,6.45,6.854,7029.4,0.34319,0,test
P01,14,2,814.0,18.05,3986.0,8.39,6.866,7047.3,0.35342,0,test
P01,15,1,859.2,16.41,4036.7,4.15,6.695,7059.9,0.36458,0,test
P01,15,2,815.7,12.74,2826.9,4.58,6.69,7066.7,0.37027,0,test
P01,16,1,857.5,17.79,4359.4,3.84,6.871,7050.3,0.38097,0,test
P01,16,2,820.7,20.73,4654.7,4.37,6.865,7044.7,0.39396,0,test
P01,16,3,812.5,22.1,4862.8,4.53,6.85,7055.8,0.40823,0,test
P01,17,1,831.1,16.35,3765.2,6.91,6.788,7018.7,0.41811,0,test
P01,17,2,858.1,16.53,4057.2,7.66,6.797,6988.5,0.43065,0,test
P01,18,1,946.8,15.81,4723.7,4.94,6.863,7028.0,0.44434,0,test
P01,18,2,789.4,17.52,3638.8,5.83,6.848,7040.4,0.45449,0,test
P01,18,3,806.0,16.28,3524.6,6.52,6.861,7028.5,0.46443,0,test
P01,19,1,884.3,21.17,5517.2,8.81,6.723,7037.0,0.47894,0,test
P01,19,2,810.7,20.5,4491.4,8.23,6.729,7039.5,0.49069,0,test
P01,20,1,781.4,16.21,3299.3,7.49,6.875,7041.8,0.49966,0,test
P01,20,2,794.0,18.73,3936.2,5.34,6.873,7044.6,0.51141,0,test
P01,20,3,854.5,21.8,5304.7,4.6,6.878,7046.1,0.52625,0,test
P01,21,1,958.0,17.39,5318.0,6.83,6.827,7011.8,0.54258,0,test
P01,21,2,776.0,16.1,3230.8,6.35,6.83,7030.4,0.54877,0,test
P01,21,3,867.2,15.38,3857.0,6.11,6.83,7010.4,0.55884,0,test
P01,22,1,863.5,19.49,4845.0,7.09,6.829,7011.1,0.57414,0,test
P01,22,2,772.2,17.04,3387.7,5.68,6.832,7025.0,0.58122,0,test
P01,23,1,883.8,24.42,6357.9,5.39,6.685,7038.1,0.60094,0,test
P01,23,2,832.0,17.55,4049.1,6.7,6.71,7045.7,0.61178,0,test
P01,23,3,801.0,21.14,4521.9,4.38,6.681,7036.2,0.62441,0,test
P01,24,1,892.6,22.26,5911.2,5.47,6.696,7027.4,0.646,0,test
P01,24,2,863.8,21.16,5263.2,5.06,6.707,7024.3,0.66168,0,test
P01,25,1,878.0,19.68,5056.9,7.06,6.702,7062.4,0.67548,0,test
