press_id,press_model,cycle_index,ts_start,shift,glue_type,wood_species,wood_moisture_pct,charge_thickness_mm,charge_area_m2,cycle_duration_min,n_activations,t_hf_total_min,u_anode_v_mean,u_anode_v_std,i_anode_a_mean,i_anode_a_max,p_anode_kw,i_prim_rms_a,cos_phi,u_ripple_v,i_inrush_peak_a_max,t_inrush_ms_mean,i2t_cycle_a2s,i2t_cum_a2s,t_hall_c,t_cabinet_c,t_fuse_holder_c,dt_fuse_cabinet_k,r_fuse_est_mohm,press_hours_total,hydraulic_pressure_bar,glue_batch_id,fuse_blown,damage_true,rul_cycles,blow_within_5,censored,split
P01,HFP-3200,1,2025-09-20 19:00,S,PUR,Buche,13.24,30.0,2.685,66.1,3,17.87,7031.4,10.28,6.974,7.024,49.04,85.07,0.9245,60.24,784.7,17.88,10066.8,10066.8,23.63,35.82,35.98,0.16,0.6308,39163.9,172.0,B5561,0,0.02603,35,0,0,test
P01,HFP-3200,2,2025-09-20 20:26,S,PVAc_D3,Eiche,11.01,18.0,2.8,58.3,3,12.4,7021.7,11.07,6.871,6.897,48.25,83.72,0.9243,58.46,832.1,18.45,11132.5,21199.3,23.32,36.25,42.08,5.83,0.5363,39164.9,183.3,B9175,0,0.05264,34,0,0,test
P01,HFP-3200,3,2025-09-20 21:40,S,PVAc_D3,Buche,10.51,18.0,2.425,58.0,2,9.05,7037.0,10.79,6.775,6.803,47.68,83.24,0.9185,58.68,787.4,20.27,8254.3,29453.7,22.22,34.73,36.88,2.15,0.8956,39165.8,189.4,B1581,0,0.07194,33,0,0,test
P01,HFP-3200,4,2025-09-20 22:48,N,PUR,Esche,10.6,18.0,2.545,61.3,2,15.72,7040.4,11.61,6.856,6.89,48.27,84.16,0.9198,56.66,907.3,21.6,11267.4,40721.0,23.05,36.09,39.84,3.75,0.9736,39166.8,181.0,B9435,0,0.10487,32,0,0,test
P01,HFP-3200,5,2025-09-21 00:08,N,PVAc_D4,Buche,12.26,30.0,1.897,64.9,3,12.54,7038.9,6.16,6.878,6.914,48.42,84.1,0.9232,65.27,815.4,20.05,12049.4,52770.5,21.04,32.7,37.87,5.16,0.7501,39167.9,196.0,B3190,0,0.1363,31,0,0,test
P01,HFP-3200,6,2025-09-21 01:31,N,PVAc_D3,Eiche,10.72,30.0,1.588,56.1,3,10.47,7046.6,9.87,6.755,6.784,47.6,83.31,0.9163,57.73,815.7,14.59,8898.2,61668.6,19.58,32.25,35.3,3.05,0.7207,39168.9,175.2,B7037,0,0.15539,30,0,0,test
P01,HFP-3200,7,2025-09-21 02:36,N,PVAc_D4,Eiche,11.32,18.0,2.132,51.4,2,11.14,7026.3,11.69,6.828,6.861,47.98,83.47,0.9218,60.88,787.8,19.65,8122.1,69790.8,19.79,30.72,35.84,5.11,0.8499,39169.7,185.9,B8449,0,0.17625,29,0,0,test
P01,HFP-3200,8,2025-09-21 03:39,N,PVAc_D3,Buche,11.48,38.0,2.749,75.0,2,17.04,7010.7,14.55,6.903,6.927,48.39,84.44,0.9191,64.32,855.3,16.51,7801.5,77592.2,19.73,32.42,34.42,2.0,0.7624,39171.0,171.7,B7742,0,0.19602,28,0,0,test
P01,HFP-3200,9,2025-09-21 05:08,N,PVAc_D4,Eiche,13.97,18.0,2.124,52.8,2,11.81,7060.3,8.17,6.918,6.937,48.84,85.35,0.9178,65.5,854.4,20.72,8597.3,86189.5,21.38,33.77,38.12,4.35,0.6289,39171.9,176.7,B4936,0,0.21868,27,0,0,test
P01,HFP-3200,10,2025-09-21 06:16,F,PUR,Esche,9.38,25.0,2.101,66.2,3,16.08,7036.6,8.55,6.74,6.763,47.42,82.25,0.9247,62.89,791.3,20.13,11114.4,97304.0,20.93,32.74,37.09,4.35,0.8476,39173.0,178.2,B6864,0,0.25091,26,0,0,test
P01,HFP-3200,11,2025-09-21 07:42,F,PVAc_D4,Fichte,11.33,25.0,1.903,55.4,2,12.43,7028.8,8.26,6.856,6.901,48.19,85.09,0.9083,72.71,825.8,18.08,7891.5,105195.4,21.61,34.79,37.03,2.24,0.2671,39173.9,187.6,B2767,0,0.27218,25,0,0,test
P01,HFP-3200,12,2025-09-21 08:52,F,PVAc_D3,Esche,9.48,25.0,1.932,64.5,2,14.08,7038.2,11.23,6.783,6.789,47.74,83.89,0.9126,68.85,782.2,18.8,7648.9,112844.3,21.19,36.1,41.7,5.6,1.2016,39175.0,176.2,B9958,0,0.29331,24,0,0,test
P01,HFP-3200,13,2025-09-21 10:16,F,PVAc_D4,Eiche,11.09,25.0,3.097,62.7,3,13.09,7024.5,8.24,6.821,6.85,47.91,83.35,0.922,66.53,910.3,20.57,14079.4,126923.7,22.6,35.75,42.03,6.28,0.8278,39176.0,172.2,B5897,0,0.33404,23,0,0,test
P01,HFP-3200,14,2025-09-21 11:28,F,PVAc_D4,Buche,11.41,38.0,1.957,69.9,2,14.83,7029.6,7.83,6.87,6.893,48.29,85.11,0.91,65.01,929.2,15.14,7504.3,134428.0,25.2,38.66,47.49,8.82,0.9371,39177.2,183.3,B7595,0,0.35342,22,0,0,test
P01,HFP-3200,15,2025-09-21 12:49,F,PVAc_D4,Eiche,8.15,18.0,2.99,57.1,2,8.73,7061.6,9.88,6.7,6.742,47.31,82.76,0.9169,66.89,859.2,14.58,6863.5,141291.5,24.67,36.2,44.04,7.83,0.7042,39178.1,178.3,B5848,0,0.37027,21,0,0,test
P01,HFP-3200,16,2025-09-21 14:08,S,PVAc_D4,Buche,11.07,22.0,2.141,53.1,3,12.74,7055.8,8.58,6.853,6.878,48.35,83.52,0.9285,63.24,857.5,20.21,13876.9,155168.5,25.21,37.02,41.4,4.38,0.5459,39179.0,182.3,B6363,0,0.40823,20,0,0,test
