press_id,press_model,n_cycles,censored,fuse_quality,cap_bank_age_0,cabinet_rise_k,hours_total_start,split
P01,HFP-3200,36,0,0.9655,0.5861,12.113,39162.8,test
P02,HFP-2400,22,1,1.0069,0.8191,10.802,20050.1,train
P03,HFP-3200,47,0,1.0534,0.3091,8.747,11347.8,test
P04,HFP-2400,23,0,0.8199,1.2048,13.038,24165.5,train
P05,HFP-3200,33,0,1.0818,0.9096,12.482,28615.2,train
P06,HFP-2400,50,0,0.9093,0.0651,9.693,8334.8,train
P07,HFP-3200,50,0,0.967,0.1129,10.346,20909.3,train
P08,HFP-2400,44,0,0.8954,0.3387,10.702,29182.8,train
P09,HFP-3200,35,0,1.1125,1.0843,9.598,35658.8,train
P10,HFP-2400,54,0,1.3077,0.3978,11.114,8890.2,train
P11,HFP-3200,29,1,1.084,0.9693,9.381,20954.3,train
P12,HFP-2400,44,0,0.9157,0.1955,10.437,14288.9,train
P13,HFP-3200,36,0,0.9017,0.9244,11.659,16945.1,train
P14,HFP-2400,42,0,0.8479,0.2054,11.459,25821.2,test
P15,HFP-3200,50,0,0.9669,0.1546,10.147,19402.9,test
P16,HFP-2400,32,0,1.2055,1.2045,9.694,5252.7,train
P17,HFP-3200,29,0,0.7493,0.9084,13.795,37789.2,train
P18,HFP-2400,30,0,0.9865,1.1626,11.067,31163.9,train
P19,HFP-3200,26,0,0.62,0.5565,11.156,16687.7,train
P20,HFP-2400,46,0,0.8947,0.0836,12.146,9542.5,test
P21,HFP-3200,55,0,1.0546,0.1581,12.261,17961.1,test
P22,HFP-2400,29,0,0.8626,0.654,12.704,24347.0,train
P23,HFP-3200,36,0,1.0892,0.9083,11.525,6652.9,test
P24,HFP-2400,48,0,1.27,0.4207,9.709,39809.0,train
P25,HFP-3200,34,1,0.9468,0.1864,10.291,13025.9,train
P26,HFP-2400,29,0,1.0406,1.1257,11.944,12686.6,test
P27,HFP-3200,42,0,0.8613,0.242,8.71,10960.3,test
P28,HFP-2400,55,0,1.078,0.1314,11.268,20447.5,train
P29,HFP-3200,45,0,1.1208,0.6228,12.825,19304.4,train
P30,HFP-2400,34,1,1.1388,0.6103,9.469,6495.7,train
